id,Name,Resident-Visitors-Total,Resident-Visits-Total,Resident-Visits-Per-Visitor,Resident-Visitors-Percent,Resident-Visits-Percent,Resident-Visits-Per-Visitor-Percent,Tourist-Visitors-Total,Tourist-Visits-Total,Tourist-Visits-Per-Visitor,Tourist-Visitors-Percent,Tourist-Visits-Percent,Tourist-Visits-Per-Visitor-Percent,Net-Visitors-Percent,Net-Visits-Percent,Net-Visits-Per-Visitor-Percent,Difference
94,94,20577,26837,1.304223162,0.007553654,0.006840066,0.001447539,14414,15556,1.079228528,0.006331344,0.006128497,0.001589799,0.001222311,0.00071157,-0.00014226,-0.266105253
95,95,11870,15271,1.28652064,0.004357383,0.003892188,0.001427891,16821,20068,1.193032519,0.007388617,0.00790606,0.001757442,-0.003031234,-0.004013872,-0.000329551,0.135742381
96,96,5760,7577,1.315451389,0.002114451,0.001931184,0.001460001,5809,6743,1.160784989,0.002551601,0.002656496,0.001709939,-0.00043715,-0.000725312,-0.000249938,-0.058240223
97,97,10738,15299,1.424753213,0.003941835,0.003899325,0.001581313,7678,8488,1.105496223,0.003372558,0.003343962,0.001628494,0.000569277,0.000555362,-4.72E-05,-0.286332871
98,98,11194,14052,1.255315348,0.004109229,0.003581496,0.001393256,7923,8574,1.082165846,0.003480174,0.003377843,0.001594126,0.000629055,0.000203653,-0.000200869,-0.242110846
99,99,7677,10292,1.340627849,0.002818166,0.002623168,0.001487944,5738,6396,1.114674102,0.002520414,0.002519791,0.001642013,0.000297752,0.000103377,-0.00015407,-0.23346117
100,100,11107,13708,1.234176645,0.004077292,0.003493819,0.001369795,7499,8212,1.095079344,0.003293933,0.003235229,0.001613149,0.000783359,0.000258591,-0.000243354,-0.250729927
101,101,6976,9446,1.354071101,0.002560835,0.002407544,0.001502864,4969,5431,1.092976454,0.002182631,0.002139616,0.001610051,0.000378203,0.000267928,-0.000107187,-0.26987968
102,102,798,1160,1.453634085,0.000292939,0.000295654,0.001613368,621,676,1.088566828,0.000272774,0.000266319,0.001603555,2.02E-05,2.93E-05,9.81E-06,-0.263616558
103,103,9448,12860,1.361134632,0.003468286,0.003277686,0.001510704,9010,9948,1.104106548,0.003957639,0.003919149,0.001626446,-0.000489353,-0.000641463,-0.000115743,-0.1276745
104,104,7276,10767,1.479796592,0.002670962,0.002744233,0.001642405,4514,5076,1.124501551,0.001982773,0.001999759,0.00165649,0.00068819,0.000744475,-1.41E-05,-0.35921227
105,105,8471,11444,1.350962106,0.003109637,0.002916783,0.001499413,4975,5457,1.096884422,0.002185267,0.002149859,0.001615808,0.000924371,0.000766924,-0.000116394,-0.354239394
106,106,11056,14070,1.272612156,0.00405857,0.003586084,0.001412454,8135,8795,1.081130916,0.003573295,0.003464909,0.001592601,0.000485275,0.000121175,-0.000180147,-0.230701946
107,107,11637,17005,1.461287273,0.004271851,0.00433414,0.001621862,6870,7763,1.129985444,0.003017645,0.003058339,0.001664568,0.001254206,0.001275802,-4.27E-05,-0.373142765
108,108,14185,19896,1.402608389,0.005207201,0.005070983,0.001556735,7777,8695,1.118040375,0.003416044,0.003425513,0.001646972,0.001791157,0.00164547,-9.02E-05,-0.39176664
109,109,2342,3002,1.281810418,0.00085973,0.000765133,0.001422663,1742,1882,1.080367394,0.000765173,0.000741439,0.001591477,9.46E-05,2.37E-05,-0.000168814,-0.229320229
110,110,20033,26430,1.319323117,0.007353956,0.006736332,0.001464298,17638,19231,1.090316362,0.007747484,0.007576313,0.001606132,-0.000393528,-0.00083998,-0.000141835,-0.1576619
111,111,8147,11837,1.452927458,0.002990699,0.003016949,0.001612583,5827,6540,1.122361421,0.002559507,0.002576522,0.001653337,0.000431192,0.000440428,-4.08E-05,-0.288240736
112,112,10504,15541,1.479531607,0.003855935,0.003961004,0.001642111,7246,8191,1.130416782,0.003182803,0.003226955,0.001665204,0.000673133,0.000734049,-2.31E-05,-0.309708411
113,113,803,1015,1.264009963,0.000294775,0.000258698,0.001402906,1031,1056,1.024248303,0.000452866,0.000416025,0.001508808,-0.000158091,-0.000157328,-0.000105902,0.019797199
114,114,14047,19116,1.36085997,0.005156543,0.00487218,0.001510399,9566,10557,1.103596069,0.004201862,0.004159073,0.001625694,0.000954681,0.000713107,-0.000115296,-0.28844404
115,115,6709,7346,1.094947086,0.002462821,0.001872308,0.001215266,19260,19901,1.033281412,0.008459947,0.007840268,0.001522115,-0.005997126,-0.00596796,-0.000306849,0.460784674
116,116,6662,10105,1.516811768,0.002445568,0.002575507,0.001683488,6260,6817,1.088977636,0.002749702,0.002685649,0.00160416,-0.000304135,-0.000110143,7.93E-05,-0.194303274
117,117,11119,12764,1.147944959,0.004081697,0.003253218,0.001274088,35113,36490,1.039216245,0.015423371,0.014375729,0.001530857,-0.011341674,-0.011122512,-0.00025677,0.481707069
118,118,14980,19521,1.303137517,0.00549904,0.004975405,0.001446334,15424,16536,1.072095436,0.006774986,0.006514581,0.001579291,-0.001275946,-0.001539176,-0.000132958,-0.082785589
119,119,441,725,1.64399093,0.000161888,0.000184784,0.001824642,160,170,1.0625,7.03E-05,6.70E-05,0.001565156,9.16E-05,0.00011781,0.000259486,-0.620111732
120,120,4647,6175,1.328814289,0.001705877,0.00157385,0.001474832,3916,4278,1.092441267,0.001720101,0.001685376,0.001609262,-1.42E-05,-0.000111526,-0.000134431,-0.181479001
121,121,7162,9964,1.3912315,0.002629114,0.002539569,0.001544108,6420,6936,1.080373832,0.002819982,0.002732531,0.001591486,-0.000190869,-0.000192962,-4.74E-05,-0.179171598
122,122,15431,21487,1.392456743,0.005664598,0.005476488,0.001545468,26419,31519,1.193042886,0.011604535,0.012417337,0.001757457,-0.005939937,-0.006940849,-0.00021199,0.189261593
123,123,5312,7312,1.376506024,0.001949993,0.001863642,0.001527764,6241,6723,1.077231213,0.002741357,0.002648617,0.001586857,-0.000791363,-0.000784975,-5.91E-05,-0.041966512
124,124,7613,9670,1.270195718,0.002794672,0.002464636,0.001409772,6864,7438,1.083624709,0.003015009,0.002930301,0.001596275,-0.000220337,-0.000465665,-0.000186503,-0.130465279
125,125,6509,10576,1.624827162,0.002389402,0.002695552,0.001803372,3864,4569,1.182453416,0.00169726,0.001800019,0.001741858,0.000692142,0.000895533,6.15E-05,-0.396632552
126,126,12306,16067,1.305623273,0.004517435,0.004095068,0.001449092,10708,11620,1.085169966,0.004703485,0.004577856,0.001598551,-0.000186049,-0.000482788,-0.000149459,-0.160616896
127,127,4202,5917,1.408138981,0.001542521,0.001508092,0.001562873,4015,4303,1.071731009,0.001763587,0.001695225,0.001578754,-0.000221066,-0.000187133,-1.59E-05,-0.157925636
128,128,2780,4676,1.682014388,0.001020516,0.001191793,0.001866844,1278,1495,1.169796557,0.000561361,0.000588975,0.001723214,0.000459155,0.000602818,0.00014363,-0.515475612
129,129,11581,16037,1.384768155,0.004251294,0.004087422,0.001536934,8341,9031,1.082723894,0.003663781,0.003557885,0.001594948,0.000587513,0.000529537,-5.80E-05,-0.279479815
130,130,15222,20566,1.351070819,0.005587876,0.005241748,0.001499534,11231,12028,1.070964295,0.004933212,0.004738593,0.001577625,0.000654664,0.000503155,-7.81E-05,-0.261950052
131,131,7736,11883,1.53606515,0.002839825,0.003028673,0.001704857,5970,6717,1.125125628,0.00262232,0.002646253,0.001657409,0.000217504,0.00038242,4.74E-05,-0.277741935
132,132,15912,22074,1.387254902,0.00584117,0.005626099,0.001539694,14100,15190,1.077304965,0.006193419,0.005984306,0.001586965,-0.00035225,-0.000358207,-4.73E-05,-0.184735938
133,133,5778,8689,1.503807546,0.002121058,0.002214604,0.001669054,4818,5293,1.098588626,0.002116305,0.002085249,0.001618318,4.75E-06,0.000129355,5.07E-05,-0.242883708
134,134,17863,23096,1.292951912,0.006557366,0.005886581,0.001435029,17972,19501,1.085076786,0.007894194,0.007682683,0.001598414,-0.001336827,-0.001796102,-0.000163385,-0.084395615
135,135,9636,13557,1.406911582,0.003537299,0.003455333,0.001561511,6713,7382,1.099657381,0.002948682,0.002908239,0.001619892,0.000588617,0.000547094,-5.84E-05,-0.294904246
136,136,1454,2338,1.607977992,0.000533752,0.000595897,0.001784672,1119,1276,1.140303843,0.00049152,0.000502697,0.001679768,4.22E-05,9.32E-05,0.000104903,-0.293857222
137,137,1269,1614,1.271867612,0.00046584,0.000411367,0.001411628,2127,2222,1.044663846,0.000934284,0.000875387,0.001538882,-0.000468444,-0.00046402,-0.000127254,0.158498436
138,138,365,399,1.093150685,0.000133989,0.000101695,0.001213272,690,735,1.065217391,0.000303082,0.000289563,0.001569159,-0.000169094,-0.000187868,-0.000355887,0.296296296
139,139,4314,5488,1.272137228,0.001583635,0.001398751,0.001411927,4974,5601,1.126055489,0.002184827,0.00220659,0.001658779,-0.000601192,-0.000807839,-0.000246852,0.010190279
140,140,12609,17345,1.375604727,0.004628664,0.004420798,0.001526764,12483,13607,1.090042458,0.005483153,0.005360662,0.001605729,-0.000854488,-0.000939864,-7.90E-05,-0.12076764
141,141,5418,8779,1.620339609,0.001988905,0.002237543,0.001798392,2513,2916,1.160366096,0.001103834,0.001148798,0.001709322,0.000885071,0.001088745,8.91E-05,-0.501325353
