id,coordinates,name,rating,review_count,price_level,category
I0sKyehdq3iKZ6GI5K5Gag,POINT (-0.136678 51.509699),Caffé Concerto,2.5,66,2,arts
zZq2AZi2N1CJHRs1Gq5YfA,POINT (-0.120840203374542 51.5307732176212),Scala,4,65,2,arts
AJ7i8Xqyx70wpcTTcK4GFA,POINT (-0.117102253177384 51.5110614108427),Somerset House Terrace,4.5,65,2,arts
W2EVbmZJca4guJFNJQVNHw,POINT (-0.080219321432476 51.524399848824),The Old Blue Last,3.5,64,2,arts
-5iFMr_Ew9Tkz9iK5tNBMA,POINT (-0.130093499999995 51.5939065176711),Alexandra Palace,4,63,2,arts
_KHr_QRAn5-czkDkonAdhA,POINT (-0.140846 51.5174),The Social,4,61,2,arts
gyzSbHKhJLjj0CJEMR1IeA,POINT (-0.0715507998863814 51.5212392528136),93 Feet East,3.5,59,2,arts
Aio2pNR4PVRFiZuIlgaWbw,POINT (-0.073118 51.524355),Rich Mix,4,59,2,arts
WMr6ZMHGMimf7xrrknjW0A,POINT (-0.12877836869184 51.5114481358807),Hippodrome Casino,4,57,2,arts
gsTzOl5onquxvEcPxXE2Ow,POINT (-0.102769 51.54437),Union Chapel,4.5,55,2,arts
SHmIIdDRFrgeb5X2kc-l2g,POINT (-0.111874 51.531721),The Lexington,3.5,55,2,arts
AJzy_Wn5yMeOxoafw5_c5Q,POINT (-0.114903511888904 51.4651860270066),O2 Academy Brixton,4,55,2,arts
snqa93sqnx4A6Bsl26bibw,POINT (-0.081736889127628 51.528021687624),Zigfrid von Underbelly,3.5,53,2,arts
XvCXpbLFduvlpkai3k1ftA,POINT (-0.14556884765625 51.5374403159159),Dublin Castle,3.5,52,2,arts
6ElAuspoD2tc7VJnklwumA,POINT (-0.136493 51.514237),Barrio Central,4,50,2,arts
9KmxgynxkZbhXY_KNos3tw,POINT (-0.0781682810583805 51.5261481076847),Barrio Shoreditch,3,48,2,arts
HwVbQ7vTj_oQvBG2K0RYNQ,POINT (-0.10255137447907 51.538436085252),King's Head Pub and Theatre,4,47,2,arts
lwafeCny1UNnn3sz_SnPHg,POINT (-0.08021544877130141 51.5265204642608),The Blues Kitchen,4,46,2,arts
