,idlat,lng,coordinates,name,rating,review_count,price_level,category
152,,-0.137662913803746,POINT (-0.137662913803746 51.5146462266357),Summer Show,4.0,1,1,arts
153,,-0.0557798,POINT (-0.0557798 51.5564188),Jackdaw,5.0,1,1,arts
154,,-0.0747010136102655,POINT (-0.0747010136102655 51.565938821483),The Others,4.0,1,1,arts
155,,-0.0561063873108196,POINT (-0.0561063873108196 51.5369523332505),St Joseph's Hospice,5.0,1,1,arts
156,,-0.216521318419733,POINT (-0.216521318419733 51.4232730425922),Wimbledon Museum,4.0,1,1,arts
157,,-0.0971089400017153,POINT (-0.0971089400017153 51.5081126650366),Shakespeare's Globe Theatre,4.5,238,2,arts
158,,-0.177414610229825,POINT (-0.177414610229825 51.5009964375442),Royal Albert Hall,4.5,206,2,arts
159,,0.00291824340820312,POINT (0.00291824340820312 51.5028390990077),The O2,4.0,191,2,arts
160,,-0.138359069824219,POINT (-0.138359069824219 51.5346440882812),KOKO,4.0,158,2,arts
161,,-0.135575861793962,POINT (-0.135575861793962 51.5106025898049),Brasserie Zédel,4.0,141,2,arts
162,,-0.1744201,POINT (-0.1744201 51.4852959),Big Easy,3.5,139,2,arts
163,,-0.150961,POINT (-0.150961 51.543409),Roundhouse,4.5,129,2,arts
164,,-0.078913,POINT (-0.078913 51.526626),Cargo,3.0,117,2,arts
165,,-0.19190476580433,POINT (-0.19190476580433 51.488822437999),The Troubadour,4.0,91,2,arts
166,,-0.139623144472486,POINT (-0.139623144472486 51.5129631039042),Ain't Nothin' But...,4.0,91,2,arts
167,,-0.0810885429382324,POINT (-0.08108854293823239 51.5222692197122),The Queen of Hoxton,3.5,78,2,arts
168,,-0.121572,POINT (-0.121572 51.512018),London Transport Museum,4.5,76,2,arts
169,,-0.136678,POINT (-0.136678 51.509699),Caffé Concerto,2.5,66,2,arts
170,,-0.120840203374542,POINT (-0.120840203374542 51.5307732176212),Scala,4.0,65,2,arts
171,,-0.117102253177384,POINT (-0.117102253177384 51.5110614108427),Somerset House Terrace,4.5,65,2,arts
172,,-0.080219321432476,POINT (-0.080219321432476 51.524399848824),The Old Blue Last,3.5,64,2,arts
173,,-0.130093499999995,POINT (-0.130093499999995 51.5939065176711),Alexandra Palace,4.0,63,2,arts
174,,-0.140846,POINT (-0.140846 51.5174),The Social,4.0,61,2,arts
