id_left,active_%,arts_%,auto_%,beautysvc_%,education_%,eventservices_%,financialservices_%,food_%,health_%,homeservices_%,hotelstravel_%,localflavor_%,localservices_%,massmedia_%,nightlife_%,pets_%,professional_%,publicservicesgovt_%,realestate_%,religiousorgs_%,restaurants_%,shopping_%
38,0,0,0,0.1,0,0.2,0,0.05,0,0,0.15,0,0,0,0.2,0,0,0,0,0,0.3,0
39,0,0.153846154,0,0,0.076923077,0.230769231,0,0.076923077,0,0,0.153846154,0,0,0,0.076923077,0,0,0,0,0,0.153846154,0.076923077
40,0,0.011857708,0,0.110671937,0,0.138339921,0,0.118577075,0.011857708,0.003952569,0.118577075,0,0.011857708,0,0.075098814,0,0,0,0,0,0.268774704,0.130434783
41,0,0.045454545,0,0.090909091,0,0.204545455,0,0.045454545,0,0,0.204545455,0,0,0,0.159090909,0,0,0,0,0,0.204545455,0.045454545
42,0.03125,0,0,0.0625,0,0.0625,0,0.15625,0.03125,0,0.0625,0,0,0,0.1875,0,0,0,0,0,0.25,0.15625
43,0.013513514,0.013513514,0,0.067567568,0,0.094594595,0,0.189189189,0,0.013513514,0.094594595,0,0.013513514,0,0.175675676,0,0.013513514,0,0,0,0.202702703,0.108108108
44,0,0.034090909,0,0.102272727,0,0.068181818,0,0.204545455,0.011363636,0,0.011363636,0,0.011363636,0,0.193181818,0,0,0,0,0,0.284090909,0.079545455
45,0,0.040540541,0,0.175675676,0,0.040540541,0,0.189189189,0.054054054,0,0.040540541,0,0.027027027,0,0.135135135,0,0,0,0,0,0.202702703,0.094594595
46,0,0.086956522,0,0.028985507,0,0.057971014,0,0.15942029,0,0,0.043478261,0,0,0,0.260869565,0,0,0,0,0,0.246376812,0.115942029
47,0,0.037735849,0,0.018867925,0,0.075471698,0,0.150943396,0.018867925,0,0.075471698,0,0,0,0.150943396,0,0,0,0,0,0.301886792,0.169811321
